year,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,country
2014,401,3,1,93,1391,1,0,0,3,96,0,55,49,36,98133,0
2014,866,5,2,406,1691,2,0,4,5,373,29,21,0,35,98119,0
2014,486,3,2,180,2185,1,0,0,4,182,0,66,0,18,98042,0
2014,705,3,2,191,1431,1,0,0,4,52,109,63,0,3,98008,0
2014,998,4,2,181,2016,1,0,0,4,70,85,76,36,31,98052,0
2014,874,2,1,35,1002,1,0,0,3,38,0,38,38,35,98115,0
2014,468,2,2,95,295,1,0,0,3,99,0,76,0,31,98052,0
2014,850,4,2,294,2803,2,0,0,3,293,0,89,0,21,98038,0
2014,780,3,2,254,2993,1,0,0,4,134,91,85,0,27,98045,0
2014,1146,4,2,125,955,1,0,0,3,127,0,45,54,35,98115,0
2014,805,3,1,151,1225,1,0,0,3,155,0,48,38,20,98155,0
2014,866,4,2,321,487,1,0,0,5,180,110,9,32,35,98105,0
2014,1067,3,1,240,2410,1,0,0,3,187,37,80,0,33,98074,0
2014,553,3,1,60,1016,1,0,0,4,63,0,55,53,35,98106,0
2014,866,5,2,320,1782,1,0,0,3,319,0,39,16,35,98105,0
2014,193,3,1,74,1853,1,0,0,4,78,0,65,0,18,98042,0
2014,703,3,1,130,1066,1,0,0,4,134,0,56,0,3,98007,0
2014,560,4,3,344,1192,2,0,0,3,344,0,97,0,1,98092,0
2014,246,3,1,98,881,1,0,0,3,103,0,87,44,10,98198,0
2014,293,3,1,72,1969,1,0,0,3,76,0,83,53,27,98045,0
2014,1312,3,1,227,2024,2,0,0,5,131,74,23,0,35,98115,0
2014,734,4,1,114,1642,1,0,0,4,117,0,54,23,3,98006,0
2014,1126,3,2,157,185,2,0,0,3,120,29,105,0,35,98102,0
2014,1109,4,2,296,2224,2,0,0,3,296,0,91,0,5,98011,0
2014,887,4,1,135,1002,1,0,0,3,69,50,59,33,35,98125,0
2014,316,3,2,207,2062,1,0,0,4,101,78,87,0,14,98003,0
2014,1111,3,1,245,1214,1,0,0,4,101,109,48,0,35,98136,0
2014,1241,4,2,222,2113,1,0,0,5,92,98,20,0,19,98033,0
2014,1207,5,2,310,2971,2,0,0,3,310,0,79,58,16,98029,0
2014,1361,3,2,278,648,1,0,0,4,154,98,51,43,35,98117,0
2014,601,4,1,129,1621,1,0,0,4,132,0,67,0,19,98034,0
2014,899,4,2,314,381,2,0,0,3,219,72,104,47,42,98072,0
2014,1162,4,2,169,702,1,0,1,3,145,18,45,54,35,98115,0
2014,1125,4,2,310,1553,2,0,0,3,310,0,114,0,36,98155,0
2014,650,4,2,404,2880,1,0,0,3,235,142,79,58,1,98092,0
2014,1095,3,2,359,2759,2,0,2,3,358,0,95,0,14,98023,0
2014,750,2,1,27,673,1,0,0,4,29,0,44,0,35,98107,0
2014,321,3,3,172,2590,1,0,0,4,63,81,92,0,21,98038,0
2014,655,3,2,184,2299,1,0,2,5,146,32,57,0,26,98166,0
2014,1312,3,2,249,1033,1,0,2,4,115,104,55,53,35,98116,0
2014,468,3,2,132,2474,1,0,0,4,136,0,78,44,13,98024,0
2014,253,4,2,118,1609,1,0,0,4,121,0,74,0,32,98055,0
2014,384,2,1,32,947,1,0,0,4,35,0,50,27,36,98155,0
2014,748,3,2,161,328,2,0,0,3,165,0,90,53,35,98116,0
2014,173,2,1,75,1769,1,0,0,2,79,0,49,0,35,98106,0
2014,407,3,1,69,1720,1,0,0,3,74,0,68,41,42,98077,0
2014,740,3,2,185,2786,2,0,0,4,187,0,77,0,16,98027,0
2014,670,3,2,180,2009,2,0,0,3,182,0,96,0,32,98059,0
2014,763,3,2,84,78,3,0,0,3,88,0,101,0,35,98107,0
2014,1410,4,2,367,2881,2,0,0,3,365,0,101,0,31,98052,0
2014,1131,4,2,294,2824,2,0,0,3,293,0,100,0,16,98027,0
2014,998,3,1,320,2791,1,0,0,3,319,0,79,58,33,98075,0
2014,1378,3,2,294,589,1,0,0,4,177,88,29,0,35,98115,0
2014,314,3,1,165,2648,1,0,0,3,168,0,68,41,7,98014,0
2014,825,5,2,223,1839,1,0,0,3,118,80,76,0,5,98011,0
2014,725,4,1,179,1918,1,0,0,4,60,90,54,23,3,98006,0
2014,878,4,1,220,3017,1,0,2,3,219,0,68,41,1,98092,0
2014,1353,5,3,407,2191,2,0,2,3,402,0,106,0,38,98065,0
2014,608,3,3,91,127,2,0,0,3,56,29,108,0,35,98199,0
2014,349,2,2,140,138,2,0,0,3,89,36,109,0,35,98106,0
2014,1009,4,2,367,1025,2,0,0,3,365,0,112,1,38,98065,0
2014,800,3,2,289,820,2,0,0,3,288,0,113,3,27,98045,0
2014,1125,4,3,296,2937,1,0,0,3,132,126,107,0,32,98059,0
2014,366,3,2,272,716,2,0,0,3,271,0,106,0,18,98042,0
2014,1125,4,2,321,1045,2,0,0,3,320,0,112,1,32,98059,0
2014,1002,2,1,37,702,1,0,0,3,40,0,44,0,35,98117,0
2014,593,3,2,142,2369,1,0,0,4,69,57,86,0,16,98027,0
2014,394,3,1,50,1904,1,0,0,4,53,0,73,0,38,98065,0
2014,1344,2,2,289,1242,1,0,0,3,288,0,104,47,31,98053,0
2014,553,3,2,222,1235,1,0,0,5,134,68,88,0,32,98058,0
2014,458,4,2,270,1901,2,0,2,3,194,57,90,53,1,98092,0
2014,1351,3,2,313,1160,2,0,0,3,190,91,80,0,35,98122,0
2014,1128,4,2,233,906,1,0,0,3,70,123,0,49,35,98122,0
2014,1019,3,2,177,1631,2,0,0,3,179,0,87,44,33,98074,0
2014,1460,3,1,92,2983,1,0,0,3,95,0,28,8,19,98033,0
2014,955,2,3,84,76,2,0,0,3,67,15,100,0,35,98103,0
2014,1403,4,3,218,487,2,0,0,4,142,61,82,55,35,98112,0
2014,1348,4,2,296,1972,2,0,2,3,296,0,96,0,33,98074,0
2014,1320,4,2,211,1956,1,0,0,4,143,54,60,45,3,98005,0
2014,1249,3,2,264,565,2,0,0,3,263,0,103,0,16,98029,0
2014,1127,4,2,189,1338,1,0,0,3,79,83,73,57,16,98027,0
2014,1435,4,3,410,1891,2,0,0,3,405,0,98,50,33,98075,0
2014,1052,2,1,272,1128,1,0,0,5,94,131,42,0,35,98118,0
2014,679,3,2,165,2817,1,0,0,4,101,47,78,44,16,98027,0
2014,859,4,3,242,1142,1,0,0,4,96,109,79,0,19,98034,0
2014,650,2,1,210,1791,1,0,0,2,209,0,48,0,36,98155,0
2014,996,2,1,66,785,1,0,0,5,70,0,8,0,35,98112,0
2014,1121,3,1,118,267,2,0,0,3,121,0,105,0,19,98033,0
2014,660,2,3,107,97,2,0,0,3,70,28,106,0,35,98136,0
2014,162,2,1,74,1443,1,0,0,4,78,0,58,19,10,98198,0
2014,1373,5,2,352,2352,2,0,0,4,351,0,90,0,19,98033,0
2014,1162,3,1,216,1681,1,0,2,4,108,81,49,29,35,98177,0
2014,1395,6,1,321,702,2,0,0,4,301,12,8,0,35,98122,0
2014,1339,3,2,244,851,1,0,0,4,169,59,39,33,35,98112,0
2014,941,3,1,129,815,1,0,0,4,26,83,44,0,35,98199,0
2014,980,5,2,298,1556,1,0,0,4,103,146,60,45,3,98006,0
2014,1199,3,2,147,249,3,0,0,3,151,0,9,42,35,98105,0
2014,606,5,2,342,2269,1,0,0,3,161,143,68,41,14,98023,0
2014,666,3,2,107,129,3,0,0,3,111,0,105,0,35,98103,0
2014,866,5,3,444,1579,2,0,1,5,313,125,71,0,35,98105,0
2014,1286,4,2,352,2629,2,0,3,3,351,0,100,0,32,98059,0
2014,1038,3,2,193,902,1,0,0,3,95,73,75,0,31,98052,0
2014,1355,3,1,92,1276,1,0,0,3,95,0,61,48,3,98004,0
2014,442,4,2,246,1025,2,0,0,3,245,0,98,50,1,98092,0
2014,734,5,2,171,1736,1,0,0,4,130,31,42,11,35,98133,0
2014,896,4,2,320,1022,2,0,0,3,319,0,106,0,38,98065,0
2014,903,4,1,204,1281,1,0,0,3,74,100,63,52,3,98008,0
2014,1551,4,2,472,3028,2,0,0,3,462,0,92,0,31,98053,0
2014,650,2,1,31,813,1,0,0,3,34,0,55,49,35,98136,0
2014,139,4,1,80,1812,1,0,0,3,84,0,71,0,14,98023,0
2014,1174,4,1,101,548,1,0,0,3,57,35,24,55,35,98103,0
2014,393,4,2,238,702,2,0,0,3,237,0,106,0,21,98038,0
2014,366,3,2,54,1931,1,0,0,3,57,0,86,0,11,98019,0
2014,944,5,1,273,2975,1,0,0,5,169,79,60,0,16,98027,0
2014,1295,4,1,193,419,1,0,0,3,194,0,2,0,35,98119,0
2014,482,5,1,64,1687,1,0,0,4,68,0,62,0,19,98034,0
2014,643,3,2,225,487,2,0,0,3,224,0,54,49,35,98144,0
2014,114,2,1,28,1167,1,0,0,5,31,0,44,0,6,98168,0
2014,1527,5,2,353,2503,1,0,3,3,153,156,76,0,3,98006,0
2014,1090,3,1,146,2852,1,0,0,4,150,0,76,36,33,98075,0
2014,595,4,1,185,1766,1,0,0,5,70,88,60,0,36,98133,0
2014,320,3,1,114,902,1,0,0,4,117,0,53,27,35,98118,0
2014,866,7,7,560,3079,3,0,4,3,509,205,99,0,31,98053,0
2014,393,3,2,175,1369,2,0,0,3,177,0,94,0,32,98055,0
2014,1090,3,1,175,996,1,0,0,4,56,89,45,0,35,98115,0
2014,700,3,2,107,913,1,0,0,4,111,0,30,0,35,98103,0
2014,770,4,2,118,458,1,0,0,5,121,0,28,17,35,98133,0
